日期,各年度碳排放配额,开盘价(元/吨),最高价(元/吨),最低价(元/吨),收盘价(元/吨),涨幅,日成交量(吨),日成交额(元),交易方式
2021/7/16,,48,52.8,48,51.23,6.73,4103953,210230053.3,挂牌
2021/7/19,,52.8,53,52.08,52.3,2.09,130800,6841289,挂牌
2021/7/20,,52.92,54,52.9,53.28,1.87,162000,8631277,挂牌
2021/7/21,,54.2,55.5,54.07,54.4,2.1,112000,6092830,挂牌
2021/7/21,,54.2,55.5,54.07,54.4,2.1,100000,5292000,大宗
2021/7/22,,55.3,58.5,54.3,55.52,2.06,112200,6229088,挂牌
2021/7/23,,56.52,61.07,55.52,56.97,2.61,112000,6380260,挂牌
2021/7/26,,54.5,54.85,53.98,54.46,-4.41,48000,2614220,挂牌
2021/7/27,,52.2,55.76,51.34,54.63,0.31,74211,4054248.14,挂牌
2021/7/28,,52.03,56.8,52.03,52.5,-3.9,800000,32784000,大宗
2021/7/28,,52.03,56.8,52.03,52.5,-3.9,72747,3819063.49,挂牌
2021/7/29,,52.9,54.88,50.98,52.96,0.88,84026,4450253.42,挂牌
2021/7/30,,52.96,58.1,51.5,54.17,2.28,40000,2166806,挂牌
2021/8/2,,50.35,55.3,50.35,51.99,-4.02,42022,2184609.4,挂牌
2021/8/3,,48,57,48,53.44,2.79,45005,2405040,挂牌
2021/8/4,,58.7,58.7,58.7,58.7,9.84,20000,1174000,挂牌
2021/8/5,,52.85,59,52.85,54.9,-6.47,60000,3294000,挂牌
2021/8/6,,52.96,52.96,52.96,52.96,-3.53,20000,1059200,挂牌
2021/8/9,,53.3,58.26,53.3,53.32,0.68,3010,160482.6,挂牌
2021/8/9,,53.3,58.26,53.3,53.32,0.68,279856,14100693.72,大宗
2021/8/10,,55.32,55.32,55.32,55.32,3.75,20000,1106400,挂牌
2021/8/11,,55.9,55.9,55.9,55.9,1.05,20000,1118000,挂牌
2021/8/12,,52,55.7,52,55.43,-0.84,6001,332652,挂牌
2021/8/13,,55.43,55.43,54,54,-2.58,51001,2754055.43,挂牌
2021/8/16,,51,51,51,51,-5.56,10,510,挂牌
2021/8/16,,51,51,51,51,-5.56,500000,25750000,大宗
2021/8/17,,52,52.5,51.2,51.76,1.49,7001,362352,挂牌
2021/8/18,,51.8,52,51.8,51.87,0.21,3000,155600,挂牌
2021/8/19,,52,52,50,50.49,-2.66,4001,202002,挂牌
2021/8/20,,49,49,49,49,-2.95,900000,37350000,大宗
2021/8/20,,49,49,49,49,-2.95,8000,392000,挂牌
2021/8/23,,49,50.2,49,50.2,2.45,3002,150698,挂牌
2021/8/24,,50.19,50.2,50.17,50.2,0,2002,100500.36,挂牌
2021/8/25,,49,49,47,47.64,-5.1,35210,1677280,挂牌
2021/8/25,,49,49,47,47.64,-5.1,250000,11493000,大宗
2021/8/26,,45,47.65,45,47.64,0,4212,200673,挂牌
2021/8/27,,44,45.1,44,45.09,-5.35,101,4554,挂牌
2021/8/27,,44,45.1,44,45.09,-5.35,205000,9020000,大宗
2021/8/30,,45.09,45.22,45.09,45.16,0.16,35,1580.75,挂牌
2021/8/31,,45.16,45.5,45.16,45.35,0.42,23,1043.1,挂牌
2021/9/1,,45.35,46,44.21,45.19,-0.35,30,1355.6,挂牌
2021/9/2,,44.66,44.66,44.66,44.66,-1.17,50,2233,挂牌
2021/9/3,,44.66,45,44.66,44.67,0.02,520,23230,挂牌
2021/9/6,,44,44,44,44,-1.5,10,440,挂牌
2021/9/7,,43.8,44,43.8,43.9,-0.23,2000,87800,挂牌
2021/9/8,,42.9,42.9,42.9,42.9,-2.28,40,1716,挂牌
2021/9/9,,42,42,41.8,41.99,-2.12,1222,51306.1,挂牌
2021/9/10,,44,44,44,44,4.79,3040,133760,挂牌
2021/9/13,,46,46,44.1,45.62,3.68,50,2281,挂牌
2021/9/14,,42,50.18,41.6,45.54,-0.18,3950,179877.5,挂牌
2021/9/15,,45,45,45,45,-1.19,50,2250,挂牌
2021/9/16,,47,47,44,44.94,-0.13,6140,275930,挂牌
2021/9/17,,42,44.8,42,43.43,-3.36,21900,951212,挂牌
2021/9/22,,43,43.35,42.5,43.24,-0.44,4231,182936.1,挂牌
2021/9/23,,43.24,44,43.24,43.85,1.41,2500,109620,挂牌
2021/9/24,,46,46,42.2,44.36,1.16,4841,214742.2,挂牌
2021/9/27,,44.35,44.35,42.01,43.59,-1.74,15841,690546.5,挂牌
2021/9/28,,43.49,43.5,42.05,42.22,-3.14,56000,2364470,挂牌
2021/9/29,,41,43.5,41,41.84,-0.9,31768,1329268,挂牌
2021/9/29,,41,43.5,41,41.84,-0.9,580000,23830000,大宗
2021/9/30,,41.84,45.8,41.84,42.21,0.88,71024,2997655.76,挂牌
2021/9/30,,41.84,45.8,41.84,42.21,0.88,8403359,351159740.6,大宗
2021/10/8,,44.45,44.45,42.21,44.08,4.43,3000,132230,挂牌
2021/10/11,,44.06,48.49,43.1,46.03,4.42,5024,231240.46,挂牌
2021/10/12,,45.2,45.2,44.5,44.67,-2.95,18462,824659,挂牌
2021/10/12,,45.2,45.2,44.5,44.67,-2.95,385539,16921306.71,大宗
2021/10/13,,44.8,44.8,43.98,44.68,0.02,77386,3457873.94,挂牌
2021/10/14,,44,44,43.8,43.96,-1.61,3482,153055,挂牌
2021/10/15,,43.96,44,43.8,43.9,-0.14,8200,359968,挂牌
2021/10/18,,45.7,45.7,43.1,43.44,-1.05,4688,203629.78,挂牌
2021/10/18,,45.7,45.7,43.1,43.44,-1.05,520000,21580000,大宗
2021/10/19,,43.43,43.44,43.43,43.43,-0.02,2028,88076.32,挂牌
2021/10/19,,43.43,43.44,43.43,43.43,-0.02,100000,4000000,大宗
2021/10/20,,43.5,43.5,41.5,43.24,-0.44,100000,4150000,大宗
2021/10/20,,43.5,43.5,41.5,43.24,-0.44,2860,123662,挂牌
2021/10/21,,45,45,42.8,43.03,-0.49,80200,3451130,挂牌
2021/10/21,,45,45,42.8,43.03,-0.49,120000,4980000,大宗
2021/10/22,,44.5,44.5,42.5,42.99,-0.09,30760,1322513.8,挂牌
2021/10/25,,46,46,42.16,43.24,0.58,12501,540537.16,挂牌
2021/10/26,,43,43,42.4,42.65,-1.36,87882,3748485,挂牌
2021/10/27,,38.5,42.75,38.5,42.61,-0.09,10635,453171.25,挂牌
2021/10/27,,38.5,42.75,38.5,42.61,-0.09,300000,12550000,大宗
2021/10/28,,42.61,42.8,42.61,42.77,0.38,3500,149705,挂牌
2021/10/29,,42.5,42.6,42.2,42.41,-0.84,620000,25595000,大宗
2021/10/29,,42.5,42.6,42.2,42.41,-0.84,56823,2410104.2,挂牌
2021/11/1,,42.41,42.54,42.3,42.45,0.09,81792,3472375.83,挂牌
2021/11/1,,42.41,42.54,42.3,42.45,0.09,1437744,59837822.87,大宗
2021/11/2,,42.45,42.45,42.4,42.43,-0.05,78500,3330975,挂牌
2021/11/2,,42.45,42.45,42.4,42.43,-0.05,320000,13120000,大宗
2021/11/3,,42.43,42.43,42.39,42.4,-0.07,7735,327962.05,挂牌
2021/11/4,,42.4,42.4,42,42.33,-0.17,13400,567282,挂牌
2021/11/5,,43,43,42.2,42.69,0.85,33010,1409087.05,挂牌
2021/11/8,,42.69,42.8,42.5,42.58,-0.26,28499,1213568.5,挂牌
2021/11/9,,42.58,43,42.5,42.73,0.35,28534,1219152,挂牌
2021/11/10,,42.73,42.8,42.7,42.74,0.02,1178517,50195031.41,大宗
2021/11/10,,42.73,42.8,42.7,42.74,0.02,30719,1312819.82,挂牌
2021/11/11,,42.5,42.74,42.4,42.49,-0.58,23884,1014944.28,挂牌
2021/11/12,,42.6,42.82,42.5,42.66,0.4,19859,847261.3,挂牌
2021/11/12,,42.6,42.82,42.5,42.66,0.4,1430000,59825000,大宗
2021/11/15,,42.66,43.2,42.66,42.93,0.63,26470,1136240,挂牌
2021/11/15,,42.66,43.2,42.66,42.93,0.63,300000,12300000,大宗
2021/11/16,,42.93,43.4,42.93,43.16,0.54,139500,6020495,挂牌
2021/11/16,,42.93,43.4,42.93,43.16,0.54,1650000,68095000,大宗
2021/11/17,,46,46,42.95,43.12,-0.09,300000,12510000,大宗
2021/11/17,,46,46,42.95,43.12,-0.09,86406,3726164.92,挂牌
2021/11/18,,43.12,43.5,42.95,43.16,0.09,1311838,42576470.84,大宗
2021/11/18,,43.12,43.5,42.95,43.16,0.09,48608,2098160.8,挂牌
2021/11/19,,43.5,43.5,43,43.05,-0.25,72949,3140096.9,挂牌
2021/11/19,,43.5,43.5,43,43.05,-0.25,1246829,37666704.09,大宗
