日期,交易类型,各年度碳排放配额,开盘价（元/吨）,最高价（元/吨）,最低价（元/吨）,收盘价（元/吨）,涨幅,日成交量（吨）,日成交额（元）
2026-03-02,大宗协议,CEA25,80.5,0.0,0.0,80.5,0.0,200000,16200000.0
2026-03-03,挂牌协议,CEA25,80.5,81.5,80.5,80.55,0.06,10500,845750.0
2026-03-03,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,100000,8100000.0
2026-03-04,挂牌协议,CEA25,81.5,81.5,80.5,80.7,0.19,50000,4035000.0
2026-03-05,挂牌协议,CEA25,83.2,83.2,80.5,81.85,1.43,100000,8185000.0
2026-03-06,大宗协议,CEA25,81.85,0.0,0.0,81.85,0.0,100000,8200000.0
2026-03-09,挂牌协议,CEA25,82.8,82.8,82.8,82.8,1.16,1851,153262.8
2026-03-10,挂牌协议,CEA25,82.0,82.0,82.0,82.0,-0.97,10000,820000.0
2026-03-10,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,414650,30529658.5
2026-03-11,挂牌协议,CEA25,79.0,79.0,79.0,79.0,-3.66,10000,790000.0
2026-03-11,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,500000,39820000.0
2026-03-12,挂牌协议,CEA25,82.0,82.5,82.0,82.45,4.37,33000,2721000.0
2026-03-12,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,600000,47580000.0
2026-03-13,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,600000,47630000.0
2026-03-13,挂牌协议,CEA25,82.5,82.5,80.5,81.83,-0.75,3000,245500.0
2026-03-16,挂牌协议,CEA25,81.0,82.0,81.0,81.95,0.15,20000,1639000.0
2026-03-16,大宗协议,CEA25,81.0,82.0,81.0,81.95,0.15,400000,32090000.0
2026-03-17,挂牌协议,CEA25,81.5,82.0,81.5,81.58,-0.45,61768,5039092.0
2026-03-18,大宗协议,CEA25,81.58,0.0,0.0,81.58,0.0,416187,33975427.5
2026-03-19,挂牌协议,CEA25,82.0,82.0,80.0,80.18,-1.72,471056,37769022.5
2026-03-20,挂牌协议,CEA25,80.1,80.5,80.1,80.16,-0.02,204664,16406605.9
2026-03-23,挂牌协议,CEA25,80.8,80.8,80.8,80.8,0.8,20000,1616000.0
2026-03-24,挂牌协议,CEA25,80.0,81.0,80.0,80.22,-0.72,140600,11278800.0
2026-03-25,挂牌协议,CEA25,79.5,80.0,79.5,79.95,-0.34,100700,8051150.0
2026-03-26,挂牌协议,CEA25,80.5,80.5,79.5,79.75,-0.25,179300,14299650.0
2026-03-26,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,275350,18638441.5
2026-03-27,挂牌协议,CEA25,80.0,80.0,79.75,79.9,0.19,17789,1421422.75
2026-03-27,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,100000,8100000.0
2026-03-30,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,280000,15680000.0
2026-03-30,挂牌协议,CEA25,80.0,80.0,79.6,79.91,0.01,56600,4522760.0
2026-03-31,挂牌协议,CEA25,79.8,79.8,79.5,79.54,-0.46,27800,2211200.0
2026-04-02,大宗协议,CEA25,79.54,0.0,0.0,79.54,0.0,100000,8100000.0
2026-04-03,挂牌协议,CEA25,80.0,80.0,79.5,79.87,0.41,62978,5029942.2
2026-04-08,挂牌协议,CEA25,79.5,79.6,79.5,79.55,-0.4,41314,3286594.4
2026-04-09,挂牌协议,CEA25,78.0,79.9,78.0,79.52,-0.04,61780,4912640.0
2026-04-09,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,600000,43650000.0
2026-04-10,挂牌协议,CEA25,79.5,79.6,79.5,79.5,-0.03,56022,4453949.0
2026-04-10,大宗协议,CEA25,79.5,79.6,79.5,79.5,-0.03,500000,40340000.0
2026-04-13,挂牌协议,CEA25,80.0,80.0,79.5,79.54,0.05,34952,2780110.0
2026-04-14,挂牌协议,CEA25,79.8,79.8,79.4,79.52,-0.03,32000,2544700.0
2026-04-14,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,100000,7960000.0
2026-04-15,挂牌协议,CEA25,78.0,78.6,77.6,78.02,-1.89,57000,4447200.0
2026-04-15,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,450000,30420000.0
2026-04-16,大宗协议,CEA25,0.0,0.0,0.0,0.0,0.0,550000,43410000.0
